state,year,within_score,surrounding_score
Minnesota,2014,3.4166666666666665,3.9315818328971823
Minnesota,2015,3.4166666666666665,3.9710455235537436
Minnesota,2016,3.1666666666666665,3.949856074410321
Minnesota,2017,3.1666666666666665,3.98059474855653
Minnesota,2018,3.1666666666666665,4.50492449383308
Minnesota,2019,3.1666666666666665,4.512609815199827
Missouri,2010,4.388888888888888,3.8061333770049686
Missouri,2011,4.888888888888888,3.8224814409992875
Missouri,2012,4.888888888888888,4.245631663138005
Missouri,2013,4.888888888888888,4.278336978980351
Missouri,2014,4.888888888888888,4.456588628872862
Missouri,2015,5.055555555555555,4.543713004592478
Missouri,2016,5.055555555555555,4.587079869587415
Missouri,2017,5.055555555555555,4.6403129737286966
Missouri,2018,5.055555555555555,5.058282278938332
Missouri,2019,5.055555555555555,5.066812660032425
Mississippi,2010,4.472222222222222,4.196153285364712
Mississippi,2011,4.472222222222222,4.219260168376649
Mississippi,2012,4.472222222222222,4.490130624468579
Mississippi,2013,4.472222222222222,4.617495945129617
Mississippi,2014,4.472222222222222,4.8039000815708315
Mississippi,2015,6.472222222222222,4.853766302862027
Mississippi,2016,6.472222222222222,4.9883854954881075
Mississippi,2017,6.472222222222222,5.063043197554558
Mississippi,2018,6.472222222222222,5.392183441578605
Mississippi,2019,6.472222222222222,5.396660948619894
Montana,2010,2.722222222222222,3.023652427542135
Montana,2011,2.722222222222222,3.0410287593904357
Montana,2012,2.722222222222222,3.331783056442435
Montana,2013,2.833333333333333,3.2901268415276412
Montana,2014,2.833333333333333,3.3219186755378813
Montana,2015,2.833333333333333,3.348369481391653
Montana,2016,2.833333333333333,3.308265355323625
Montana,2017,2.722222222222222,3.2972779369198304
Montana,2018,2.722222222222222,3.519807956711519
Montana,2019,2.722222222222222,3.525665403529293
North Carolina,2010,3.888888888888889,3.919274846309745
North Carolina,2011,3.888888888888889,3.980087063002325
North Carolina,2012,5.222222222222222,4.087515409616166
North Carolina,2013,4.722222222222222,4.126404975360017
North Carolina,2014,4.722222222222222,4.183250777754397
North Carolina,2015,4.722222222222222,4.218794512494913
North Carolina,2016,4.888888888888889,4.2912940693368595
North Carolina,2017,4.888888888888889,4.627621469420875
North Carolina,2018,4.888888888888889,4.771402041001691
North Carolina,2019,4.888888888888889,4.794425360953548
North Dakota,2010,6.805555555555555,3.4561802899266474
North Dakota,2011,6.805555555555555,3.4920939794082333
North Dakota,2012,6.805555555555555,3.800395693834045
North Dakota,2013,6.805555555555555,3.7905957442139484
North Dakota,2014,6.472222222222222,3.902045358366539
North Dakota,2015,6.472222222222222,3.9391383657679775
North Dakota,2016,6.472222222222222,3.8827478050589948
North Dakota,2017,6.472222222222222,3.887198662567305
North Dakota,2018,6.472222222222222,4.234771005598066
North Dakota,2019,6.472222222222222,4.240689175816928
Nebraska,2010,3.694444444444444,3.6986820804694234
Nebraska,2011,4.361111111111111,3.740491391887969
Nebraska,2012,4.972222222222222,4.198502837748146
Nebraska,2013,4.972222222222222,4.329430267391292
Nebraska,2014,4.972222222222222,4.463447271910324
Nebraska,2015,4.972222222222222,4.527659343279237
Nebraska,2016,4.972222222222222,4.494926633995277
Nebraska,2017,4.972222222222222,4.506529199142341
Nebraska,2018,4.972222222222222,4.922734620095047
Nebraska,2019,4.972222222222222,4.927057750191686
New Hampshire,2010,0.25,2.455462545911788
New Hampshire,2011,0.25,2.4588351191791045
New Hampshire,2012,0.3611111111111111,2.510117970158476
New Hampshire,2013,2.361111111111111,2.462194518830326
New Hampshire,2014,2.361111111111111,2.473415123521343
New Hampshire,2015,2.361111111111111,2.477918906734855
New Hampshire,2016,2.361111111111111,2.2128651766827345
New Hampshire,2017,2.361111111111111,2.220754794162043
New Hampshire,2018,2.361111111111111,2.315059295801993
New Hampshire,2019,2.361111111111111,2.3344451268824815
New Jersey,2010,0.9305555555555555,2.0657484191612134
New Jersey,2011,0.9305555555555555,2.0715360382926384
New Jersey,2012,0.9305555555555555,2.149666108982073
New Jersey,2013,0.9305555555555555,2.1251441216227107
New Jersey,2014,0.9305555555555555,2.13541483764242
New Jersey,2015,0.9305555555555555,2.139477170871533
New Jersey,2016,0.9305555555555555,2.1359150868183803
New Jersey,2017,0.9305555555555555,2.1456029470453797
New Jersey,2018,0.9305555555555555,2.487204651868691
New Jersey,2019,0.9305555555555555,2.4943704013927275
New Mexico,2010,1.1666666666666665,3.162879198138683
New Mexico,2011,1.1666666666666665,3.1813886212901563
New Mexico,2012,1.1666666666666665,3.670120351339994
New Mexico,2013,1.6666666666666665,3.7265377791057497
New Mexico,2014,1.6666666666666665,3.980935393344292
New Mexico,2015,1.6666666666666665,4.027659158537711
New Mexico,2016,1.6666666666666665,4.003273803955064
New Mexico,2017,1.6666666666666665,4.006530429423557
New Mexico,2018,1.6666666666666665,4.4315690062953514
New Mexico,2019,1.6666666666666665,4.4386765586328965
Nevada,2010,2.888888888888889,2.075702351942312
Nevada,2011,2.888888888888889,2.0791880118936676
Nevada,2012,2.888888888888889,2.233360617743075
Nevada,2013,2.888888888888889,1.8803894769705174
Nevada,2014,2.888888888888889,1.9046730690322664
Nevada,2015,2.888888888888889,1.912935562687973
Nevada,2016,2.888888888888889,1.9301884819569848
Nevada,2017,2.888888888888889,1.9245867175073845
Nevada,2018,2.888888888888889,1.971843623282191
Nevada,2019,2.888888888888889,1.9783808720111409
New York,2010,1.5,2.052208909408505
New York,2011,1.5,2.0592978999899687
New York,2012,1.5,2.1540596447454012
New York,2013,1.5,2.1017620537284634
New York,2014,1.5,2.1173153007645644
